index,state
0,home#grid#thumbnail1
1,home#grid#thumbnail2
2,home#main#ad
3,home#main#back_to_top
4,home#main#game_thumbnail[1]
5,home#menu#gaming
6,home#menu#home
7,home#menu#library
8,home#menu#music
9,home#menu#search
10,home#menu#settings
11,home#menu#signin
12,home#menu#subscriptions
13,play#menu#adskip
14,play#play#play
15,search#control#key_clear
16,search#control#key_mic
17,search#control#key_search
18,search#control#key_space
19,search#keyboard#key_
20,search#keyboard#key_'
21,search#keyboard#key_a
22,search#keyboard#key_bs
23,search#keyboard#key_d
24,search#keyboard#key_e
25,search#keyboard#key_h
26,search#keyboard#key_j
27,search#keyboard#key_k
28,search#keyboard#key_n
29,search#keyboard#key_o
30,search#keyboard#key_q
31,search#keyboard#key_r
32,search#keyboard#key_s
33,search#keyboard#key_to_number
34,search#keyboard#key_u
35,search#keyboard#key_w
36,search#keyboard#key_x
37,search#keyboard#key_y
38,search#keyboard#key_z
